insertion (cmp);insertion (swp);merge (cmp);merge (swp);quick (cmp);quick (swp);dual pivot (cmp);dual pivot (swp);hybrid (cmp);hybrid (swp);n;insertion (cmp/n);merge (cmp/n);quick (cmp/n);dual pivot (cmp/n);hybrid (cmp/n);insertion (swp/n);merge (swp/n);quick (swp/n);dual pivot (swp/n);hybrid (swp/n)
34610;17436;8068;4236;5565;1860;1340;1474;5796;2370;263;131,5969582;30,67680608;21,15969582;5,095057034;9,011406844;66,29657795;16,10646388;7,072243346;5,604562738;9,011406844
36145;18204;8127;4256;5823;2004;1478;1804;5469;1796;264;136,9128788;30,78409091;22,05681818;5,598484848;6,803030303;68,95454545;16,12121212;7,590909091;6,833333333;6,803030303
35796;18030;8122;4276;5257;1976;1334;1562;6172;2484;265;135,0792453;30,6490566;19,83773585;5,033962264;9,373584906;68,03773585;16,13584906;7,456603774;5,894339623;9,373584906
35965;18115;8215;4296;6275;2066;1630;1860;5510;2234;266;135,2067669;30,88345865;23,59022556;6,127819549;8,398496241;68,10150376;16,15037594;7,766917293;6,992481203;8,398496241
35052;17659;8216;4316;6447;2716;1617;1658;5861;2205;267;131,2808989;30,77153558;24,14606742;6,056179775;8,258426966;66,13857678;16,16479401;10,17228464;6,209737828;8,258426966
36543;18405;8265;4336;5519;1792;2066;1652;4623;1605;268;136,3544776;30,83955224;20,59328358;7,708955224;5,98880597;68,67537313;16,17910448;6,686567164;6,164179104;5,98880597
37998;19133;8304;4356;6034;2250;1610;1812;5289;2203;269;141,2565056;30,86988848;22,43122677;5,985130112;8,189591078;71,12639405;16,19330855;8,364312268;6,73605948;8,189591078
38323;19296;8315;4376;5503;2026;1530;1626;5053;2176;270;141,937037;30,7962963;20,38148148;5,666666667;8,059259259;71,46666667;16,20740741;7,503703704;6,022222222;8,059259259
38610;19440;8396;4396;5604;1790;1458;1614;5205;2231;271;142,4723247;30,98154982;20,67896679;5,380073801;8,232472325;71,73431734;16,22140221;6,605166052;5,955719557;8,232472325
36247;18259;8397;4416;6225;2334;1589;1832;6184;2714;272;133,2610294;30,87132353;22,88602941;5,841911765;9,977941176;67,12867647;16,23529412;8,580882353;6,735294118;9,977941176
40586;20429;8462;4436;6107;2146;1709;1874;5399;1745;273;148,6666667;30,996337;22,36996337;6,26007326;6,391941392;74,83150183;16,24908425;7,860805861;6,864468864;6,391941392
36723;18498;8485;4456;6137;2476;1477;1776;5178;2330;274;134,0255474;30,96715328;22,39781022;5,390510949;8,503649635;67,51094891;16,26277372;9,03649635;6,481751825;8,503649635
38162;19218;8526;4476;5925;2094;1825;2112;5162;1784;275;138,7709091;31,00363636;21,54545455;6,636363636;6,487272727;69,88363636;16,27636364;7,614545455;7,68;6,487272727
38231;19253;8571;4496;5649;1660;1792;2092;5017;1877;276;138,5181159;31,05434783;20,4673913;6,492753623;6,800724638;69,75724638;16,28985507;6,014492754;7,579710145;6,800724638
36242;18259;8578;4516;6265;2662;1268;1594;5833;1959;277;130,8375451;30,96750903;22,61732852;4,577617329;7,072202166;65,91696751;16,3032491;9,610108303;5,754512635;7,072202166
39795;20036;8633;4536;6021;1884;1552;1696;5524;2186;278;143,147482;31,05395683;21,65827338;5,582733813;7,863309353;72,07194245;16,31654676;6,776978417;6,100719424;7,863309353
39882;20080;8682;4556;5961;2164;1506;1808;5138;2167;279;142,9462366;31,11827957;21,3655914;5,397849462;7,76702509;71,97132616;16,3297491;7,756272401;6,480286738;7,76702509
40075;20177;8675;4576;5797;2130;1779;1752;5782;1808;280;143,125;30,98214286;20,70357143;6,353571429;6,457142857;72,06071429;16,34285714;7,607142857;6,257142857;6,457142857
39780;20030;8740;4596;6254;2262;1589;1794;5611;1912;281;141,5658363;31,10320285;22,25622776;5,65480427;6,804270463;71,28113879;16,35587189;8,049822064;6,384341637;6,804270463
39595;19938;8807;4616;5892;2008;1557;1788;5391;2091;282;140,4078014;31,23049645;20,89361702;5,521276596;7,414893617;70,70212766;16,36879433;7,120567376;6,340425532;7,414893617
39886;20084;8804;4636;6214;2230;1601;1894;6259;2445;283;140,9399293;31,10954064;21,95759717;5,657243816;8,639575972;70,96819788;16,38162544;7,879858657;6,692579505;8,639575972
42141;21212;8833;4656;6571;2728;1688;1934;5504;2316;284;148,3838028;31,10211268;23,13732394;5,943661972;8,154929577;74,69014085;16,3943662;9,605633803;6,809859155;8,154929577
41554;20919;8924;4676;6264;2422;1497;1684;5883;1967;285;145,8035088;31,3122807;21,97894737;5,252631579;6,901754386;73,4;16,40701754;8,498245614;5,90877193;6,901754386
41603;20944;8891;4696;5989;1962;1516;1726;5616;2224;286;145,465035;31,08741259;20,94055944;5,300699301;7,776223776;73,23076923;16,41958042;6,86013986;6,034965035;7,776223776
