insertion (cmp);insertion (swp);merge (cmp);merge (swp);quick (cmp);quick (swp);dual pivot (cmp);dual pivot (swp);hybrid (cmp);hybrid (swp);n;insertion (cmp/n);merge (cmp/n);quick (cmp/n);dual pivot (cmp/n);hybrid (cmp/n);insertion (swp/n);merge (swp/n);quick (swp/n);dual pivot (swp/n);hybrid (swp/n);wpolczynnik QS;wspolczynnik DP QS
11526;5838;4171;2206;2854;1005;730;840;2522;956;151;76,33112583;27,62251656;18,90066225;4,834437086;6,331125828;38,66225166;14,60927152;6,655629139;5,562913907;6,331125828;1,326541344;1,108750974
11625;5888;4205;2224;2861;997;740;848;2550;965;152;76,48026316;27,66447368;18,82236842;4,868421053;6,348684211;38,73684211;14,63157895;6,559210526;5,578947368;6,348684211;1,305606393;1,110485678
11713;5932;4236;2242;2955;1051;762;872;2555;951;153;76,55555556;27,68627451;19,31372549;4,980392157;6,215686275;38,77124183;14,65359477;6,869281046;5,699346405;6,215686275;1,365543349;1,132972217
11879;6016;4272;2260;2926;1037;758;855;2614;987;154;77,13636364;27,74025974;19;4,922077922;6,409090909;39,06493506;14,67532468;6,733766234;5,551948052;6,409090909;1,336873059;1,102243458
12020;6087;4307;2278;2912;1024;757;870;2648;997;155;77,5483871;27,78709677;18,78709677;4,883870968;6,432258065;39,27096774;14,69677419;6,606451613;5,612903226;6,432258065;1,309913692;1,112914953
12198;6176;4340;2296;2990;1047;764;876;2613;976;156;78,19230769;27,82051282;19,16666667;4,897435897;6,256410256;39,58974359;14,71794872;6,711538462;5,615384615;6,256410256;1,329055413;1,111989056
12252;6204;4377;2314;3005;1044;785;899;2692;998;157;78,03821656;27,87898089;19,14012739;5;6,356687898;39,51592357;14,7388535;6,649681529;5,72611465;6,356687898;1,315142061;1,132483441
12484;6320;4405;2332;3002;1077;776;902;2706;1019;158;79,01265823;27,87974684;19;4,911392405;6,449367089;40;14,75949367;6,816455696;5,708860759;6,449367089;1,346435109;1,127655031
12742;6450;4439;2350;3049;1081;810;913;2703;1001;159;80,13836478;27,91823899;19,17610063;5,094339623;6,295597484;40,56603774;14,77987421;6,798742138;5,742138365;6,295597484;1,341264673;1,132816509
12873;6516;4473;2368;3048;1059;791;904;2706;1026;160;80,45625;27,95625;19,05;4,94375;6,4125;40,725;14,8;6,61875;5,65;6,4125;1,304142526;1,113262364
13029;6594;4509;2386;3072;1090;802;912;2791;1043;161;80,92546584;28,00621118;19,08074534;4,98136646;6,47826087;40,95652174;14,81987578;6,770186335;5,664596273;6,47826087;1,332345519;1,114769829
13090;6625;4545;2404;3135;1105;812;913;2802;1058;162;80,80246914;28,05555556;19,35185185;5,012345679;6,530864198;40,89506173;14,83950617;6,820987654;5,635802469;6,530864198;1,340709287;1,107753465
13393;6777;4578;2422;3140;1103;810;927;2802;1066;163;82,16564417;28,08588957;19,26380368;4,969325153;6,539877301;41,57668712;14,85889571;6,766871166;5,687116564;6,539877301;1,328465453;1,116489097
13561;6862;4612;2440;3247;1141;811;920;2813;1042;164;82,68902439;28,12195122;19,79878049;4,945121951;6,353658537;41,84146341;14,87804878;6,957317073;5,609756098;6,353658537;1,364215548;1,099980985
13669;6916;4647;2458;3180;1129;831;944;2856;1062;165;82,84242424;28,16363636;19,27272727;5,036363636;6,436363636;41,91515152;14,8969697;6,842424242;5,721212121;6,436363636;1,340089564;1,120500043
13833;6999;4680;2476;3263;1147;828;936;2938;1095;166;83,3313253;28,19277108;19,65662651;4,987951807;6,596385542;42,1626506;14,91566265;6,909638554;5,638554217;6,596385542;1,351653963;1,103006198
14061;7113;4715;2494;3256;1117;821;948;2885;1066;167;84,19760479;28,23353293;19,49700599;4,916167665;6,383233533;42,59281437;14,93413174;6,688622754;5,676646707;6,383233533;1,306883713;1,109154664
14009;7088;4749;2512;3316;1148;857;964;2898;1099;168;83,38690476;28,26785714;19,73809524;5,101190476;6,541666667;42,19047619;14,95238095;6,833333333;5,738095238;6,541666667;1,333602922;1,119854718
14340;7254;4783;2530;3307;1167;863;970;2937;1094;169;84,85207101;28,30177515;19,56804734;5,106508876;6,473372781;42,92307692;14,9704142;6,905325444;5,73964497;6,473372781;1,346093915;1,118861266
14463;7316;4820;2548;3287;1166;879;988;2957;1112;170;85,07647059;28,35294118;19,33529412;5,170588235;6,541176471;43,03529412;14,98823529;6,858823529;5,811764706;6,541176471;1,33549313;1,131618535
14501;7335;4849;2566;3379;1186;860;968;2960;1132;171;84,80116959;28,35672515;19,76023392;5,029239766;6,619883041;42,89473684;15,00584795;6,935672515;5,660818713;6,619883041;1,348916054;1,10097027
14913;7542;4883;2584;3418;1210;890;994;3002;1121;172;86,70348837;28,38953488;19,87209302;5,174418605;6,51744186;43,84883721;15,02325581;7,034883721;5,779069767;6,51744186;1,366661733;1,122695671
14997;7584;4920;2602;3370;1169;864;995;3016;1161;173;86,68786127;28,43930636;19,47976879;4,994219653;6,710982659;43,83815029;15,04046243;6,757225434;5,751445087;6,710982659;1,311244534;1,116072122
15146;7659;4954;2620;3434;1213;920;1019;3129;1150;174;87,04597701;28,47126437;19,73563218;5,287356322;6,609195402;44,01724138;15,05747126;6,971264368;5,856321839;6,609195402;1,351267618;1,135153919
